1,朱色,しゅいろ,#ED514E,237,81,78
2,紅樺色,べにかばいろ,#A14641,161,70,65
3,茶鼠,ちゃねずみ,#9F9190,159,145,144
4,紅緋,べにひ,#EE5145,238,81,69
5,生成色,きなりいろ,#F0E2E0,240,226,224
6,鉛丹色,えんたんいろ,#D3503C,211,80,60
7,紅海老茶,べにえびちゃ,#703B32,112,59,50
8,小豆色,あずきいろ,#946259,148,98,89
9,鳶色,とびいろ,#7D483E,125,72,62
10,弁柄色,べんがらいろ,#8A4031,138,64,49
11,海老茶,えびちゃ,#6D3D33,109,61,51
12,金赤,きんあか,#ED542A,237,84,42
13,赤錆色,あかさびいろ,#923A21,146,58,33
14,赤茶,あかちゃ,#B15237,177,82,55
15,肉桂色,にっけいいろ,#B97761,185,119,97
16,錆色,さびいろ,#664134,102,65,52
17,黄丹,おうに,#EF6D3E,239,109,62
18,煉瓦色,れんがいろ,#974E33,151,78,51
19,柿色,かきいろ,#E06030,224,96,48
20,黒茶,くろちゃ,#3E2E28,62,46,40
21,赤橙色,あかだいだい,#ED551B,237,85,27
22,樺色,かばいろ,#BD4A1D,189,74,29
23,檜皮色,ひわだいろ,#8A604F,138,96,79
24,栗色,くりいろ,#754C38,117,76,56
25,代赭,たいしゃ,#BA6432,186,100,50
26,肌色,はだいろ,#F4BE9B,244,190,155
27,駱駝色,らくだいろ,#B67A52,182,122,82
28,象牙色,ぞうげいろ,#E3D4CA,227,212,202
29,焦茶,こげちゃ,#594639,89,70,57
30,灰茶,はいちゃ,#866955,134,105,85
31,黄赤,きあか,#E45E00,228,94,0
32,黄茶,きちゃ,#BB6421,187,100,33
33,杏色,あんずいろ,#DDA273,221,162,115
34,茶色,ちゃいろ,#734E30,115,78,48
35,柑子色,こうじいろ,#FFA75E,255,167,94
36,褐色,かっしょく,#763900,118,57,0
37,朽葉色,くちはいろ,#897868,137,120,104
38,橙色,だいだいいろ,#FD7E00,253,126,0
39,煤竹色,すすたけいろ,#605448,96,84,72
40,小麦色,こむぎいろ,#D9A46D,217,164,109
41,蜜柑色,みかんいろ,#FA8000,250,128,0
42,砂色,すないろ,#C9B9A8,201,185,168
43,土色,つちいろ,#A96E2D,169,110,45
44,卵色,たまごいろ,#FABE6F,250,190,111
45,琥珀色,こはくいろ,#C67400,198,116,0
46,黄土色,おうどいろ,#C18A39,193,138,57
47,金茶,きんちゃ,#C47600,196,118,0
48,山吹色,やまぶきいろ,#FFA500,255,165,0
49,芥子色,からしいろ,#CDA966,205,169,102
50,鬱金色,うこんいろ,#FCAC00,252,172,0
51,向日葵色,ひまわりいろ,#FFB500,255,181,0
52,鶯茶,うぐいすいろ,#70613A,112,97,58
53,黄色,きいろ,#FFBE00,255,190,0
54,蒲公英色,たんぽぽいろ,#FFBE00,255,190,0
55,刈安色,かりやすいろ,#EED67E,238,214,126
56,中黄,ちゅうき,#FAD43A,250,212,58
57,海松色,みる,#736F55,115,111,85
58,黄蘗色,きはだいろ,#D9CB65,217,203,101
59,鶸色,ひわ,#C2C05C,194,192,92
60,鶯色,うぐいすいろ,#71714A,113,113,74
61,抹茶色,まっちゃいろ,#BDBF92,189,191,146
62,黄緑,きみどり,#B9C42F,185,196,47
63,苔色,こけいろ,#7A7F46,122,127,70
64,若草色,わかくさいろ,#A9B735,169,183,53
65,萌黄,もえぎ,#96AA3D,150,170,61
66,草色,くさいろ,#72814B,114,129,75
67,若葉色,わかばいろ,#AFC297,175,194,151
68,松葉色,まつばいろ,#6E815C,110,129,92
69,緑,みどり,#4DB56A,77,181,106
70,白緑,びゃくりょく,#CADBCF,202,219,207
71,常磐色,ときわいろ,#357C4C,53,124,76
72,千歳緑,ちとせみどり,#4A6956,74,105,86
73,緑青色,ろくしょういろ,#5F836D,95,131,109
74,利休鼠,りきゅうねずみ,#787C7A,120,124,122
75,深緑,ふかみどり,#005731,0,87,49
76,萌葱色,もえぎいろ,#15543B,21,84,59
77,若竹色,わかたけいろ,#49A581,73,165,129
78,青磁色,せいじいろ,#80AA9F,128,170,159
79,鉄色,てついろ,#244344,36,67,68
80,青竹色,あおたけいろ,#7AAAAC,122,170,172
81,青緑,あおみどり,#0090A8,0,144,168
82,浅葱色,あさぎいろ,#0087AA,0,135,170
83,納戸色,なんどいろ,#166A88,22,106,136
84,錆浅葱,さびあさぎ,#6C8D9B,108,141,155
85,新橋色,しんばしいろ,#69AAC6,105,170,198
86,白群,びゃくぐん,#84B5CF,132,181,207
87,水浅葱,みずあさぎ,#7A99AA,122,153,170
