id,name,kana,name_en,hexCode,red,green,blue
1,朱色,しゅいろ,shuiro,#ED514E,237,81,78
2,紅樺色,べにかばいろ,benikabairo,#A14641,161,70,65
3,茶鼠,ちゃねずみ,chanezumi,#9F9190,159,145,144
4,紅緋,べにひ,benihi,#EE5145,238,81,69
5,生成色,きなりいろ,kinariiro,#F0E2E0,240,226,224
6,鉛丹色,えんたんいろ,entan-iro,#D3503C,211,80,60
7,紅海老茶,べにえびちゃ,beniebicha,#703B32,112,59,50
8,小豆色,あずきいろ,azuki-iro,#946259,148,98,89
9,鳶色,とびいろ,tobiiro,#7D483E,125,72,62
10,弁柄色,べんがらいろ,bengarairo,#8A4031,138,64,49
11,海老茶,えびちゃ,ebicha,#6D3D33,109,61,51
12,金赤,きんあか,kinaka,#ED542A,237,84,42
13,赤錆色,あかさびいろ,akasabi-iro,#923A21,146,58,33
14,赤茶,あかちゃ,akacha,#B15237,177,82,55
15,肉桂色,にっけいいろ,nikkeiiro,#B97761,185,119,97
16,錆色,さびいろ,sabi-iro,#664134,102,65,52
17,黄丹,おうに,ouni,#EF6D3E,239,109,62
18,煉瓦色,れんがいろ,renga-iro,#974E33,151,78,51
19,柿色,かきいろ,kaki-iro,#E06030,224,96,48
20,黒茶,くろちゃ,kurocha,#3E2E28,62,46,40
21,赤橙色,あかだいだい,akadaidai,#ED551B,237,85,27
22,樺色,かばいろ,kabairo,#BD4A1D,189,74,29
23,檜皮色,ひわだいろ,hiwadairo,#8A604F,138,96,79
24,栗色,くりいろ,kuri-iro,#754C38,117,76,56
25,代赭,たいしゃ,taisha,#BA6432,186,100,50
26,肌色,はだいろ,hadairo,#F4BE9B,244,190,155
27,駱駝色,らくだいろ,rakuda-iro,#B67A52,182,122,82
28,象牙色,ぞうげいろ,zougeiro,#E3D4CA,227,212,202
29,焦茶,こげちゃ,kogecha,#594639,89,70,57
30,灰茶,はいちゃ,haicha,#866955,134,105,85
31,黄赤,きあか,kiaka,#E45E00,228,94,0
32,黄茶,きちゃ,kicha,#BB6421,187,100,33
33,杏色,あんずいろ,anzuiro,#DDA273,221,162,115
34,茶色,ちゃいろ,chairo,#734E30,115,78,48
35,柑子色,こうじいろ,kouji-iro,#FFA75E,255,167,94
36,褐色,かっしょく,kasshoku,#763900,118,57,0
37,朽葉色,くちはいろ,kuchairo,#897868,137,120,104
38,橙色,だいだいいろ,daidai-iro,#FD7E00,253,126,0
39,煤竹色,すすたけいろ,susutakeiro,#605448,96,84,72
40,小麦色,こむぎいろ,komugiiro,#D9A46D,217,164,109
41,蜜柑色,みかんいろ,mikan-iro,#FA8000,250,128,0
